Year,Lifeexpectancy(men),Lifeexpectancy(women),Infantdeaths,Alcohol,Measles,BMI,Under-fivedeaths,Polio,Totalexpenditure,Diphtheria ,HIV/AIDS,GDP,Population
2015,70,66,67,65,0.01,40,40,1154,19.1,83,6,8.16,65
2014,59,67,73,85,0.01,20,43,492,18.6,86,58,8.18,62
2013,79,51,87,67,0.01,25,39,430,18.1,89,62,8.13,64
2012,65,81,63,91,0.01,54,42,2787,17.6,93,67,8.52,67
2011,76,75,57,72,0.01,48,24,3013,17.2,97,68,7.87,68
2010,51,77,71,57,0.01,51,30,1989,16.7,102,66,9.2,66
2009,77,67,84,100,0.01,41,47,2861,16.2,106,63,9.42,63
2008,65,60,99,92,0.03,49,67,1599,15.7,110,64,8.33,64
2007,64,56,90,77,0.02,47,20,1141,15.2,113,63,6.73,63
2006,78,65,85,54,0.03,42,44,1990,14.7,116,58,7.43,58
2005,52,51,91,94,0.02,41,27,1296,14.2,118,58,8.7,58
2004,61,71,63,59,0.02,69,55,466,13.8,120,5,8.79,5
2003,52,58,87,91,0.01,39,24,798,13.4,122,41,8.82,41
2002,81,56,74,99,0.01,54,24,2486,13,122,36,7.76,36
2001,71,64,97,80,0.01,40,27,8762,12.6,122,35,7.8,33
2000,56,79,99,54,0.01,18,66,6532,12.2,122,24,8.2,24
2015,78,66,97,68,4.6,59,29,0,58,0,99,6,99
2014,53,52,65,98,4.51,25,33,0,57.2,1,98,5.88,98
2013,55,79,66,96,4.76,34,25,0,56.5,1,99,5.66,99
2012,54,77,69,54,5.14,32,71,9,55.8,1,99,5.59,99
2011,79,64,56,79,5.37,66,35,28,55.1,1,99,5.71,99
2010,54,61,92,64,5.28,19,42,10,54.3,1,99,5.34,99
2009,54,57,58,86,5.79,35,28,0,53.5,1,98,5.79,98
2008,85,62,77,59,5.61,70,74,0,52.6,1,99,5.87,99
2007,70,63,88,96,5.58,19,69,22,51.7,1,99,6.1,98
2006,55,78,69,64,5.31,68,20,68,5.8,1,97,5.86,97
2005,57,65,50,68,5.16,73,26,6,49.9,1,97,6.12,98
2004,56,69,63,73,4.54,69,52,7,48.9,1,98,6.38,97
2003,77,61,56,88,4.29,38,67,8,47.9,1,97,6.27,97
2002,76,85,57,55,3.73,36,25,16,46.9,1,98,6.3,98
2001,75,63,73,87,4.25,45,57,18,46,1,97,6,97
2000,58,79,97,61,3.66,45,66,662,45,1,97,6.26,97
2015,84,71,52,81,,31,63,63,59.5,24,95,,95
2014,65,61,80,59,0.01,59,47,0,58.4,24,95,7.21,95
2013,55,84,89,55,0.53,40,67,25,57.2,24,95,7.12,95
2012,63,78,64,68,0.66,46,30,18,56.1,24,95,6.14,95
2011,63,61,68,74,0.56,74,64,112,55,24,95,5.29,95
